State,County,TotalPopulation,MedianHouseholdIncome,IncomePerCapita,PovertyRate,EmployedPersons,ProfessionalOccupationRate,ServiceOccupationRate,DrivingCommuteRate,WorkFromHomeRate,CrimeRate2016,ChildPovertyRate,UrbanizationLevel,MajorPoliticalParty2020,CostOfLiving,GoodAirQuality
Texas,Karnes,15051,53051,27011,19.3,5433,27.4,20.2,82.6,3.5,27.0,32.1,10,1,62278.05,0.7533
New York,Dutchess,295685,75585,36704,9.1,144934,39.7,19.4,75.6,5.6,14.0,11.8,9,0,105669.6,0.8998999999999999
Maine,Somerset,50994,41549,22641,17.8,22217,27.4,18.5,82.4,4.2,25.0,26.0,10,0,64875.33,0.8548
Texas,Cottle,1498,33534,20566,24.5,651,26.0,29.2,69.5,1.6,8.0,35.8,11,1,60457.54,0.7533
Oklahoma,Garvin,27751,42567,22433,17.1,10697,29.4,14.0,90.7,2.5,34.0,20.6,10,1,70043.59,0.7243999999999999
Georgia,Clayton,274150,44106,19498,21.9,122985,23.2,21.3,78.0,3.5,3.0,33.5,10,1,63357.8,0.8771
Colorado,Denver,678467,60098,38991,15.1,374043,46.1,16.8,69.9,7.6,42.0,22.8,0,0,91534.85,0.7382
Iowa,Black Hawk,132960,50916,27669,15.9,68771,31.8,18.4,82.1,3.2,29.0,18.2,4,1,69219.29,0.8771
South Dakota,Day,5524,43902,30841,16.5,2776,35.4,18.3,73.2,13.2,0.0,28.1,11,1,69281.58,0.9209
Ohio,Columbiana,104584,45498,24758,15.4,45737,25.7,18.1,86.5,2.7,6.0,24.7,6,1,60828.24,0.8283
Texas,Rockwall,90414,93269,38933,5.8,44335,47.5,13.2,81.6,5.9,10.0,7.5,3,1,88697.47,0.7533
Iowa,O'Brien,13944,56314,32051,9.7,7418,29.2,15.4,73.7,6.0,9.0,13.3,11,1,64521.12,0.8771
Ohio,Coshocton,36602,43251,21520,15.0,15613,22.0,18.7,80.0,5.5,16.0,21.2,9,1,62488.78,0.8283
Nebraska,Merrick,7829,53536,27223,10.0,4194,29.3,17.2,82.3,5.6,6.0,11.1,9,1,80039.66,0.9346
Iowa,Buchanan,21101,59348,30974,7.8,10412,30.5,16.6,79.1,5.8,21.0,9.1,11,0,65311.36,0.9376000000000001
