TotalPopulation,MedianHouseholdIncome,IncomePerCapita,PovertyRate,EmployedPersons,ProfessionalOccupationRate,ServiceOccupationRate,DrivingCommuteRate,WorkFromHomeRate,CrimeRate2016,ChildPovertyRate,CostOfLiving,ClusterID_k=1,ClusterID_k=2,ClusterID_k=3,ClusterID_k=4,ClusterID_k=5,ClusterID_k=6,ClusterID_k=7,ClusterID_k=8,ClusterID_k=9,ClusterID_k=10
15051,53051,27011,19.3,5433,27.4,20.2,82.6,3.5,27,32.1,62278,0,1,1,1,1,3,1,1,7,7
295685,75585,36704,9.1,144934,39.7,19.4,75.6,5.6,14,11.8,105670,0,0,0,3,0,2,2,5,4,4
50994,41549,22641,17.8,22217,27.4,18.5,82.4,4.2,25,26.0,64875,0,1,1,1,1,3,1,1,7,7
1498,33534,20566,24.5,651,26.0,29.2,69.5,1.6,8,35.8,60458,0,1,1,1,1,0,3,4,6,6
27751,42567,22433,17.1,10697,29.4,14.0,90.7,2.5,34,20.6,70044,0,1,1,1,3,3,1,1,7,7
274150,44106,19498,21.9,122985,23.2,21.3,78.0,3.5,3,33.5,63358,0,1,1,1,1,0,3,1,6,6
678467,60098,38991,15.1,374043,46.1,16.8,69.9,7.6,42,22.8,91535,0,0,0,3,0,2,2,3,4,8
132960,50916,27669,15.9,68771,31.8,18.4,82.1,3.2,29,18.2,69219,0,1,1,0,3,3,4,1,8,0
5524,43902,30841,16.5,2776,35.4,18.3,73.2,13.2,0,28.1,69282,0,0,0,0,2,4,0,6,0,5
104584,45498,24758,15.4,45737,25.7,18.1,86.5,2.7,6,24.7,60828,0,1,1,1,1,3,1,1,1,7
90414,93269,38933,5.8,44335,47.5,13.2,81.6,5.9,10,7.5,88697,0,0,0,3,0,2,2,5,4,4
13944,56314,32051,9.7,7418,29.2,15.4,73.7,6.0,9,13.3,64521,0,0,0,0,3,1,5,0,3,1
36602,43251,21520,15.0,15613,22.0,18.7,80.0,5.5,16,21.2,62489,0,1,1,1,1,3,1,1,1,6
7829,53536,27223,10.0,4194,29.3,17.2,82.3,5.6,6,11.1,80040,0,0,0,0,3,1,5,0,1,1
21101,59348,30974,7.8,10412,30.5,16.6,79.1,5.8,21,9.1,65311,0,0,0,0,3,1,5,0,3,1
195101,58334,29582,11.9,93603,32.4,17.1,84.1,3.4,21,17.9,75106,0,0,0,0,3,1,5,0,1,1
32478,39368,22031,21.9,13341,26.4,18.6,79.9,3.5,21,31.4,61145,0,1,1,1,1,0,3,1,7,7
162080,53816,27985,14.5,82049,32.2,18.4,84.1,4.8,12,18.7,71404,0,0,0,0,3,1,1,0,1,1
7527,45152,24605,16.6,2994,27.7,18.5,89.1,2.3,5,25.9,72142,0,1,1,1,1,3,1,1,1,7
13479,48422,27253,13.2,6122,34.0,21.0,79.1,6.6,15,19.5,81333,0,0,0,0,3,1,1,0,1,1
747,43854,25110,18.2,351,37.6,14.2,57.2,16.1,2,29.4,68004,0,0,0,0,2,4,0,6,0,5
12747,46182,25272,17.5,5330,29.2,13.2,81.1,1.2,26,22.4,66617,0,1,1,0,3,3,1,1,7,7
5821,64427,20676,8.1,2049,38.0,14.1,84.0,4.7,30,11.4,66852,0,0,0,0,3,1,5,0,3,1
29614,46211,23688,18.8,12120,26.1,22.5,75.2,4.8,10,35.4,73297,0,1,1,1,1,3,1,1,6,6
24170,48412,25838,11.1,10435,25.2,17.7,79.8,5.4,13,16.3,70583,0,1,1,0,3,3,1,0,1,1
1023811,73577,37315,10.1,536376,50.1,13.8,79.5,8.2,8,13.4,82908,0,0,0,3,0,2,2,5,4,4
73742,39305,20526,30.4,32662,32.9,21.8,79.2,4.5,24,32.6,61950,0,1,1,1,1,0,3,4,5,3
46113,39830,19252,24.4,16338,31.2,20.6,84.5,2.3,14,40.8,65979,0,1,1,1,1,0,3,4,7,3
33122,47128,22252,19.3,12825,26.9,22.1,85.2,1.8,43,28.9,70224,0,1,1,1,1,3,4,1,7,0
84514,40705,24349,18.6,30300,30.2,21.9,81.0,5.6,31,25.4,87035,0,1,1,1,1,3,4,1,6,0
445551,58595,31879,13.3,219548,33.8,20.9,77.8,4.3,28,16.9,81643,0,0,0,0,3,1,4,3,8,8
15904,50897,21305,11.9,6715,29.0,15.5,79.9,2.9,10,17.4,68118,0,1,1,0,3,3,1,0,1,1
9448,49556,29470,12.2,4751,30.0,14.9,76.9,5.5,5,17.5,64426,0,0,0,0,3,1,5,0,1,1
1257401,46720,30441,18.3,587730,39.6,18.3,79.8,4.0,33,26.9,66328,0,1,1,0,3,3,4,3,8,0
529402,74862,33486,10.4,262971,34.6,16.7,80.5,5.0,13,15.9,79487,0,0,0,3,3,1,5,3,3,8
